wake_up_time,brush_time,morning_activity,bathing,breakfast,work_travel_time,work1,break1,work2,lunch,work3,break2,work4,home_travel_time,after_work_time,dinner_time,mediation_time,sleep_time,Opt
19981,22165,22497,26587,26421,28293,31041,38626,38898,50666,54401,59244,59460,65766,68659,72534,73060,77308,0.7578947368421053
22390,22472,22990,26804,28030,29647,34621,38831,41390,52291,56606,59613,61349,67675,70282,75325,76503,79366,0.7052631578947369
20419,22083,22482,26172,26756,28519,30607,38425,38410,50321,52705,59335,59465,66444,67113,70697,73185,75405,0.6789473684210526
21849,22221,23055,27178,28147,29327,34513,38887,40819,52102,55352,59415,62032,67095,70303,75030,75844,79278,0.7052631578947369
19287,22061,22706,26449,27232,28391,31921,38676,37629,50888,54824,59388,59632,66301,67569,70226,72667,77077,0.7315789473684211
21182,22483,22834,26715,27994,29696,34605,38798,40782,51675,55617,59512,60916,67657,70319,75309,77198,78955,0.6789473684210526
19180,21909,22558,26311,26474,28719,32136,38696,37877,51068,53323,59254,58766,66306,69266,72086,73358,75584,0.7578947368421053
20821,22330,22935,26871,28025,29943,34689,38768,40964,51647,56663,59492,62258,67796,71267,74008,75048,79963,0.7052631578947369
19701,22028,22404,26361,26972,27838,30113,38473,37687,50906,53064,59303,59975,66221,67145,72298,74178,74994,0.6789473684210526
21758,22340,23327,27168,28055,29098,33813,38788,39923,52048,57030,59586,60738,67656,70462,73665,75573,80006,0.7052631578947369
18939,22069,22552,26418,27058,28037,30582,38437,38460,50256,54225,59141,58526,65499,68246,72242,74635,75259,0.7315789473684211
22353,22470,23313,27140,28119,29473,33549,38961,41732,52275,56311,59674,61102,67391,71183,73901,76778,78098,0.7052631578947369
19571,21906,22706,26428,27157,27698,32374,38659,37811,50537,53563,59307,60212,66363,67294,72044,73168,76814,0.7578947368421053
21935,22338,23012,27006,27521,29911,34406,38852,40661,51585,56060,59652,61126,67181,70320,73917,75057,79194,0.7578947368421053
19065,21953,22213,26670,27245,28200,30351,38517,39504,50226,53829,59265,59931,65967,68887,71682,73752,76718,0.7315789473684211
21319,22253,22918,27071,27498,29865,34764,38763,41966,52123,56194,59473,62339,66721,71295,75058,76355,78907,0.6789473684210526
19667,22159,22734,26248,26775,28427,30825,38412,37655,50361,53633,59298,59958,66394,67479,70265,72601,75507,0.7052631578947369
20761,22342,22898,26801,28084,28989,33961,38740,41765,51555,55076,59607,61770,67023,70322,74946,76939,77910,0.6789473684210526
19816,21933,22707,26652,27242,28587,31515,38619,39290,50940,54151,59316,58336,65974,68083,71565,74231,76622,0.7578947368421053
22190,22389,22979,27013,27822,28824,32474,38783,40691,52043,57113,59497,61535,67624,71166,73411,74870,79629,0.7052631578947369
20216,22008,22326,26476,26757,27845,31973,38455,37460,51164,54457,59320,57933,65900,68368,70528,73867,75201,0.6526315789473685
21808,22354,23006,27244,28007,28870,33993,38885,41025,51500,56343,59587,60393,67624,70260,73068,76177,77914,0.7578947368421053
19295,22032,22481,26436,26932,27670,31023,38610,38705,50319,52631,59361,60028,65456,67081,72099,74580,75794,0.7052631578947369
22157,22321,23246,27243,27427,29837,34270,38915,39991,51560,55206,59412,61931,67614,70898,72992,77218,78491,0.7315789473684211
19902,21944,22617,26616,27091,28724,32172,38481,39154,51182,54724,59144,58620,66047,67265,72797,74439,75469,0.7578947368421053
21170,22239,23291,27258,27994,29468,33863,38890,41315,51594,55965,59651,62344,67164,70810,74666,76924,79454,0.6789473684210526
19245,21977,22550,26267,26615,28635,30388,38444,38638,50567,53182,59254,58237,66269,67377,71704,72072,76862,0.7052631578947369
22323,22416,23268,27192,28175,29284,33100,38977,40773,52152,55585,59585,62248,67273,70338,74007,77189,78278,0.7315789473684211
19420,22193,22223,26690,26541,28128,32070,38604,38158,50816,54029,59218,58509,66581,66906,70407,72261,75509,0.6789473684210526
